AMTX,Aemetis Inc Cmn Stk,1.77,1.69,1.73,18400,-0.02,1.14
AMWD,Amer Woodmark Cp,73.85,71.15,71.25,128300,-1.9,2.6
AMZN,Amazon.Com Inc,784.8,763.6,765.6,5026500,-19.9,2.53
ANAT,Amer Natl Insurance,116.6,115.2,115.5,19300,-0.8,0.72
ANCB,Anchor Bancorp,24.55,24.4,24.4,2800,-0.35,1.41
ANCX,Access National Corp,23.28,22.81,23.06,40000,-0.22,0.95
ANDA,Andina Acq Cp Ord Sh,9.9,9.9,9.9,1000,0,0
ANDAR,Andina Acq Cp Rt,0.31,0.3,0.31,29700,0.03,10.71
ANDAW,Andina Acq Cp Wt,0.17,0.17,0.17,100,0,0
ANDE,Andersons Inc,39.2,38.6,38.95,96000,-0.2,0.51
ANGI,Angie's List Inc,8.13,6.99,7.59,2512300,0.02,0.26
ANGO,Angiodynamics Inc,16.21,15.63,15.75,330800,-0.25,1.56
ANIK,Anika Therapeutics,43.78,42.29,42.31,89400,-1.54,3.51
ANIP,ANI Pharma Inc,62.89,61,61.98,217200,-0.64,1.02
ANSS,Ansys Inc,89.85,88.46,89.52,597400,-0.44,0.49
ANTH,Anthera Pharmaceutic,2.4,2.21,2.27,485300,-0.1,4.22
ANY,Sphere 3D Corp.,0.5,0.44,0.47,323800,-0.03,6
AOSL,Alpha and Omega Semi,20.59,19.67,19.82,138900,-0.7,3.41
APDN,Applied Dna Scns Cmn,2.63,2.55,2.6,114300,-0.1,3.7
APDNW,Applied Dna Sci Wrnt,0.88,0.75,0.79,11200,-0.02,2.47
APEI,American Pub. Edu.,19.6,19.06,19.45,42400,0.2,1.04
APIC,Apigee Corp Cm ST,17.4,17.35,17.35,519500,-0.05,0.29
APLP,Archrock Partners LP,14.8,13.43,14.62,181600,0.17,1.18
APOG,Apogee Entrpr Inc,40.72,39.96,40.25,240100,0.18,0.45
APOL,Apollo Ed Grp A,8.92,8.71,8.78,202000,-0.02,0.23
APOP,Cellect Biotechnology Ltd,4.16,4.06,4.11,3800,-0.04,0.96
APOPW,Cellect Biotechnology Ltd,0.78,0.78,0.78,100,0,0
APPF,Appfolio Cl A Cmn,19.2,18.8,18.9,12500,-0.1,0.53
APPS,Digital Turbine Cmn,0.72,0.65,0.65,169500,-0.04,5.8
APPY,Venaxis Inc,2.75,2.44,2.44,31100,-0.28,10.29
APRI,Apricus Biosc Inc,1.86,1.55,1.63,213400,-0.24,12.83
APTI,Apptio Inc,19.91,19.1,19.31,136200,0.21,1.1
APTO,Aptose Bioscns Cmn,1.15,0.86,0.95,274900,-0.2,17.39
APVO,Aptevo Therapeutics Inc,2.09,1.85,1.92,182900,-0.18,8.57
APWC,Asia Pac Wire &Cable,2.3,2.25,2.3,1300,0.05,2.22
AQMS,Aqua Metals Inc Cmn,9.22,8.4,8.62,161200,-0.6,6.51
AQXP,Aquinox Pharmaceutic,10.69,10.25,10.39,156800,-0.3,2.81
ARAY,Accuray Incorporated,5.07,4.85,4.95,771800,0.05,1.02
ARCB,Arcbest Corp,20.35,19.5,20.2,182600,0.5,2.54
ARCC,Ares Capital Corp,15.27,15.05,15.23,2211000,0.07,0.46
ARCI,Applnc Rcycl Ct Amer,0.95,0.9,0.94,6600,-0.03,3.09
ARCW,Arc Group Worldwide,4.05,3.75,3.85,14500,-0.15,3.75
ARDM,Aradigm Corp Cmn,5.24,4.96,4.96,67400,-0.41,7.64
ARDX,Ardelyx Inc Cmn,12.8,11.85,11.9,81100,-0.8,6.3
AREX,Approach Res. Inc,2.74,2.58,2.7,962000,-0.1,3.57
ARGS,Argos Therapeutics,4.19,3.9,4.05,77200,-0.1,2.41
ARIA,Ariad Pharm Inc,9.18,8.94,9.01,5755100,-0.18,1.96
ARII,American Railcar Ind,36.19,35.74,35.83,155300,-0.21,0.58
ARIS,Ari Network Svcs,4.96,4.8,4.81,20900,-0.13,2.63
ARKR,Ark Restaurants Cp,20.75,20.75,20.75,100,-0.07,0.34
ARLP,Alliance Resource Pt,24.5,23.55,23.95,375800,-0.65,2.64
ARLZ,Aralez Pharm Inc,4.08,3.98,3.99,347200,-0.08,1.97
ARNA,Arena Pharmaceutical,1.5,1.4,1.4,1329100,-0.09,6.04
AROW,Arrow Financial Corp,31.52,30.9,30.9,19400,-0.55,1.75
ARQL,Arqule Inc,1.26,1.2,1.22,53700,-0.03,2.4
ARRS,Arris Group Inc,27.46,26.36,26.6,1736000,-0.66,2.42
ARRY,Array Biopharma Inc,6.11,5.8,5.84,2552600,-0.27,4.42
ARTNA,Artesian Res Cp A,27.55,27.1,27.27,17200,-0.12,0.44
ARTW,Art S Way MFG Co I,3,3,3,100,0,0
ARTX,Arotech Corp,2.65,2.45,2.65,260900,0.1,3.92
ARWA,Arowana Inc Ord,10.23,10.12,10.2,5300,-0.02,0.2
ARWAR,Arowana Inc RTS,0.51,0.46,0.46,3800,0.02,4.55
ARWAU,Arowana Inc Units,13,10.99,13,2900,2.52,24.05
ARWAW,Arowana Inc Wts,0.2131,0.205,0.205,3330,-0.02,6.82
ARWR,Arrowhead Pharma,6.06,5.83,5.84,590200,-0.18,2.99
ASBB,Asb Bancorp Inc,26.45,26.35,26.45,2300,-0.05,0.19
ASCMA,Ascent Capital Group,20.91,20.1,20.12,40700,-0.41,2
ASET,Flxsh Rl As Al Ix Fd,25.29,25.29,25.29,100,-0.46,1.79
ASFI,Asta Funding Inc,9.65,9.45,9.55,2000,-0.14,1.44
ASMB,Assembly Biosciences,13.97,13,13.59,83900,-0.29,2.09
ASML,Asml Hldg NY Reg,104.7,103.7,104,564400,0.1,0.13
ASNA,Ascena Retail Grp Cmn,5.14,4.83,5.05,4307600,0.21,4.34
ASND,Ascendis Pharma Ads,19.46,18.84,19.17,29900,0.19,1
ASPS,Altisource Portfolio,26.36,24.78,24.8,581200,-0.63,2.48
ASRV,Ameriserv Financial,3.3,3.29,3.3,5400,0,0
ASRVP,Ameriserv Fin Cap,27.11,27.1,27.11,600,0,0
ASTC,Astrotech Corp,1.74,1.65,1.66,18500,-0.07,4.05
ASTE,Astec Inds Inc,55.19,53.61,54.37,135700,-0.66,1.2
ASUR,Asure Software,6.7,6.53,6.67,17400,0.02,0.3
ASYS,Amtech Systems Inc,4.53,4.38,4.44,14800,-0.13,2.84
ATAI,Ata Inc ADR,3.92,3.43,3.52,13200,-0.47,11.78
ATAX,Amer First Mf Inv,5.8,5.7,5.8,77200,0,0
ATEC,Alphatec Holdings,6.29,5.82,5.99,55800,0.02,0.34
ATHN,Athenahealth Inc,102.8,98.8,102.4,1066500,1.2,1.16
ATHX,Athersys Inc,1.74,1.41,1.52,696200,-0.18,10.59
ATLC,Atlanticus Hldg Cp,3.33,3.33,3.33,200,-0.16,4.58
ATLO,Ames Natl Corp,27.2,26.85,26.85,3500,-0.05,0.19
ATMR,Atomera Inc,7.09,7,7.01,8100,0.01,0.14
ATNI,Atn International,66.6,64.63,65.5,99400,-1.43,2.14
ATOS,Atossa Genetics Inc,2.09,1.72,1.83,154900,-0.09,4.69
ATRA,Atara Biotherap Cmn,14.15,13.1,14.05,224700,0.45,3.31
ATRC,Atricure Inc,18.39,17.53,17.64,315400,-0.31,1.73
ATRI,Atrion Corp,438.8,430.5,430.5,2100,-6.1,1.4
ATRO,Astronics Cp,36.94,35.47,35.62,114200,-0.73,2.01
ATRS,Antares Pharma Cmn,1.7,1.61,1.62,434500,-0.07,4.14
ATSG,Air Transport,13.38,13.14,13.15,306600,-0.06,0.45
ATTU,Attunity Ltd,5.67,4.5,4.57,429900,-1.33,22.54
ATVI,Activision Blizzard,43.09,42.26,42.6,7792800,0,0
AUBN,Auburn Natl Bncp I,27.75,27.5,27.75,5000,0.2,0.73
AUDC,Audiocodes Ltd,5.4,5.34,5.35,110800,0,0
AUMA,Ar Cap Acq Cmn,9.95,9.94,9.95,1500,0.05,0.51
AUMAW,Ar Cap Acq Warrants,0.07,0.05,0.07,242300,0.02,40
AUPH,Aurinia Pharm Ord,2.98,2.71,2.77,1133600,-0.17,5.78
AVAV,Aerovironment Inc,23.99,23.45,23.7,163800,-0.2,0.84
AVEO,Aveo Pharmaceuticals,0.63,0.61,0.62,146100,0,0
AVGO,Broadcom Ltd,174.2,169.8,172.6,4350100,3.8,2.23
AVGR,Avinger Inc Cmn,3.65,3.4,3.55,96400,0,0
AVHI,A V Homes Inc,16,15.88,15.9,28500,0.05,0.32
AVID,Avid Tech Inc,6.59,6.35,6.38,240700,-0.17,2.6
AVIR,Aviragen Therapeutic,1.23,1.15,1.23,74600,0.08,6.96
AVNW,Aviat Networks Inc,8.77,8.43,8.64,4700,-0.06,0.69
AVXL,Anavex Lf SC Cmn,3.07,2.76,2.78,653900,-0.28,9.15
AVXS,Avexis Inc Cmn Stk,59.78,54.59,58.66,1777200,10.65,22.18
AWRE,Aware Inc,5.15,4.9,5.1,42000,0.05,0.99
AXAR,Axar Acquisition Corp.,9.85,9.85,9.85,500,-0.05,0.51
AXARU,Axar Acquisition Corp.,9.92,9.92,9.92,1000,0,0
AXARW,Axar Acquisition Corp.,0.06,0.06,0.06,1900,0,0
AXAS,Abraxas Petro Corp,1.64,1.56,1.57,679100,-0.05,3.09
AXDX,Accelerate Diagnosti,20.71,20.15,20.2,178800,-0.2,0.98
AXGN,Axogen Inc Cmn,9.2,8.6,9.1,268100,0.35,4
AXSM,Axsome Thera Cmn Stk,7.15,6.1,6.4,42200,-0.75,10.49
AXTI,Axt Inc,5.15,4.9,5,338400,0,0
AYA,Amaya Inc Cmn Stk,13.52,13.2,13.4,262200,0.05,0.37
AZPN,Aspen Technology Cmn,48.82,47.94,48.16,789000,-0.66,1.35
AZRX,Azurrx Biopharma Inc,5,4.75,5,4000,-0.04,0.79
